N	B	P	C	Time
100	4	1	1	0.000524
100	4	1	2	0.000417
100	4	1	3	0.000467
100	4	2	1	0.000402
100	4	3	1	0.000653
100	8	1	1	0.000553
100	8	1	2	0.000481
100	8	1	3	0.000496
100	8	2	1	0.000541
100	8	3	1	0.000541
398	8	1	1	0.000941
398	8	1	2	0.000961
398	8	1	3	0.001068
398	8	2	1	0.001181
398	8	3	1	0.001012
