N	B	P	C	Time
100	4	1	1	0.001292
100	4	1	2	0.001622
100	4	1	3	0.001834
100	4	2	1	0.001789
100	4	3	1	0.001978
100	8	1	1	0.001270
100	8	1	2	0.001617
100	8	1	3	0.001857
100	8	2	1	0.001753
100	8	3	1	0.002011
398	8	1	1	0.003119
398	8	1	2	0.002976
398	8	1	3	0.002996
398	8	2	1	0.004131
398	8	3	1	0.004746
