N	B	P	C	Time
100	4	1	1	0.000335
100	4	1	2	0.000273
100	4	1	3	0.000307
100	4	2	1	0.000349
100	4	3	1	0.000304
100	8	1	1	0.000358
100	8	1	2	0.000312
100	8	1	3	0.000301
100	8	2	1	0.000361
100	8	3	1	0.000324
398	8	1	1	0.000498
398	8	1	2	0.000394
398	8	1	3	0.000453
398	8	2	1	0.000434
398	8	3	1	0.000479
